SOTA Summits List (Date=00/00/0000)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
3Y/BV-001,"Bouvet Island","Bouvetøya (Bouvet Island)",Olavtoppen,780,2559,3.3565,-54.4104,3.35650,-54.41040,10,3,01/03/2018,31/12/2099,0,,
4O/IC-001,Montenegro,"Istok Crne Gore","Maja Rosit",2524,8280,19.8505,42.4795,19.85050,42.47950,10,3,01/03/2019,31/12/2099,1,27/07/2022,4O/SQ9MDF/P
4O/IC-002,Montenegro,"Istok Crne Gore","Kom kučki",2487,8159,19.6417,42.6807,19.64170,42.68070,10,3,01/03/2019,31/12/2099,0,,
4O/IC-003,Montenegro,"Istok Crne Gore","Veliki vrh (Maja Gurt e Zjarmit)",2480,8136,19.7872,42.4971,19.78720,42.49710,10,3,01/03/2019,31/12/2099,0,,
4O/IC-004,Montenegro,"Istok Crne Gore","Kom vasojevićki",2461,8074,19.6677,42.6879,19.66770,42.68790,10,3,01/03/2019,31/12/2099,0,,
4O/IC-005,Montenegro,"Istok Crne Gore","Crni krš",2426,7959,20.0544,42.6301,20.05440,42.63010,10,3,01/03/2019,31/12/2099,0,,
